"","Language","Popular"
"1","C",TRUE
"2","C#",TRUE
"3","C++",TRUE
"4","Clojure",TRUE
"5","CoffeeScript",TRUE
"6","CSS",TRUE
"7","Go",TRUE
"8","Haskell",TRUE
"9","HTML",TRUE
"10","Java",TRUE
"11","JavaScript",TRUE
"12","Lua",TRUE
"13","Matlab",TRUE
"14","Objective-C",TRUE
"15","Perl",TRUE
"16","PHP",TRUE
"17","Python",TRUE
"18","R",TRUE
"19","Ruby",TRUE
"20","Scala",TRUE
"21","Shell",TRUE
"22","Swift",TRUE
"23","TeX",TRUE
"24","VimL",TRUE
"25","1C Enterprise",FALSE
"26","ABAP",FALSE
"27","Ada",FALSE
"28","Agda",FALSE
"29","AGS Script",FALSE
"30","Alloy",FALSE
"31","Alpine Abuild",FALSE
"32","AMPL",FALSE
"33","Ant Build System",FALSE
"34","ANTLR",FALSE
"35","ApacheConf",FALSE
"36","Apex",FALSE
"37","API Blueprint",FALSE
"38","APL",FALSE
"39","Apollo Guidance Computer",FALSE
"40","AppleScript",FALSE
"41","Arc",FALSE
"42","Arduino",FALSE
"43","AsciiDoc",FALSE
"44","ASN.1",FALSE
"45","ASP",FALSE
"46","AspectJ",FALSE
"47","Assembly",FALSE
"48","ATS",FALSE
"49","Augeas",FALSE
"50","AutoHotkey",FALSE
"51","AutoIt",FALSE
"52","Awk",FALSE
"53","Batchfile",FALSE
"54","Befunge",FALSE
"55","Bison",FALSE
"56","BitBake",FALSE
"57","Blade",FALSE
"58","BlitzBasic",FALSE
"59","BlitzMax",FALSE
"60","Bluespec",FALSE
"61","Boo",FALSE
"62","Brainfuck",FALSE
"63","Brightscript",FALSE
"64","Bro",FALSE
"65","C-ObjDump",FALSE
"66","C2hs Haskell",FALSE
"67","Cap&#39;n Proto",FALSE
"68","CartoCSS",FALSE
"69","Ceylon",FALSE
"70","Chapel",FALSE
"71","Charity",FALSE
"72","ChucK",FALSE
"73","Cirru",FALSE
"74","Clarion",FALSE
"75","Clean",FALSE
"76","Click",FALSE
"77","CLIPS",FALSE
"78","CMake",FALSE
"79","COBOL",FALSE
"80","ColdFusion",FALSE
"81","ColdFusion CFC",FALSE
"82","COLLADA",FALSE
"83","Common Lisp",FALSE
"84","Component Pascal",FALSE
"85","Cool",FALSE
"86","Coq",FALSE
"87","Cpp-ObjDump",FALSE
"88","Creole",FALSE
"89","Crystal",FALSE
"90","Csound",FALSE
"91","Csound Document",FALSE
"92","Csound Score",FALSE
"93","CSV",FALSE
"94","Cucumber",FALSE
"95","Cuda",FALSE
"96","Cycript",FALSE
"97","Cython",FALSE
"98","D",FALSE
"99","D-ObjDump",FALSE
"100","Darcs Patch",FALSE
"101","Dart",FALSE
"102","desktop",FALSE
"103","Diff",FALSE
"104","DIGITAL Command Language",FALSE
"105","DM",FALSE
"106","DNS Zone",FALSE
"107","Dockerfile",FALSE
"108","Dogescript",FALSE
"109","DTrace",FALSE
"110","Dylan",FALSE
"111","E",FALSE
"112","Eagle",FALSE
"113","eC",FALSE
"114","Ecere Projects",FALSE
"115","ECL",FALSE
"116","ECLiPSe",FALSE
"117","edn",FALSE
"118","Eiffel",FALSE
"119","EJS",FALSE
"120","Elixir",FALSE
"121","Elm",FALSE
"122","Emacs Lisp",FALSE
"123","EmberScript",FALSE
"124","EQ",FALSE
"125","Erlang",FALSE
"126","F#",FALSE
"127","Factor",FALSE
"128","Fancy",FALSE
"129","Fantom",FALSE
"130","Filterscript",FALSE
"131","fish",FALSE
"132","FLUX",FALSE
"133","Formatted",FALSE
"134","Forth",FALSE
"135","FORTRAN",FALSE
"136","FreeMarker",FALSE
"137","Frege",FALSE
"138","G-code",FALSE
"139","Game Maker Language",FALSE
"140","GAMS",FALSE
"141","GAP",FALSE
"142","GAS",FALSE
"143","GCC Machine Description",FALSE
"144","GDB",FALSE
"145","GDScript",FALSE
"146","Genshi",FALSE
"147","Gentoo Ebuild",FALSE
"148","Gentoo Eclass",FALSE
"149","Gettext Catalog",FALSE
"150","GLSL",FALSE
"151","Glyph",FALSE
"152","Gnuplot",FALSE
"153","Golo",FALSE
"154","Gosu",FALSE
"155","Grace",FALSE
"156","Gradle",FALSE
"157","Grammatical Framework",FALSE
"158","Graph Modeling Language",FALSE
"159","GraphQL",FALSE
"160","Graphviz (DOT)",FALSE
"161","Groff",FALSE
"162","Groovy",FALSE
"163","Groovy Server Pages",FALSE
"164","Hack",FALSE
"165","Haml",FALSE
"166","Handlebars",FALSE
"167","Harbour",FALSE
"168","Haxe",FALSE
"169","HCL",FALSE
"170","HLSL",FALSE
"171","HTML+Django",FALSE
"172","HTML+ECR",FALSE
"173","HTML+EEX",FALSE
"174","HTML+ERB",FALSE
"175","HTML+PHP",FALSE
"176","HTTP",FALSE
"177","Hy",FALSE
"178","HyPhy",FALSE
"179","IDL",FALSE
"180","Idris",FALSE
"181","IGOR Pro",FALSE
"182","Inform 7",FALSE
"183","INI",FALSE
"184","Inno Setup",FALSE
"185","Io",FALSE
"186","Ioke",FALSE
"187","IRC log",FALSE
"188","Isabelle",FALSE
"189","Isabelle ROOT",FALSE
"190","J",FALSE
"191","Jade",FALSE
"192","Jasmin",FALSE
"193","Java Server Pages",FALSE
"194","JFlex",FALSE
"195","JSON",FALSE
"196","JSON5",FALSE
"197","JSONiq",FALSE
"198","JSONLD",FALSE
"199","JSX",FALSE
"200","Julia",FALSE
"201","Jupyter Notebook",FALSE
"202","KiCad",FALSE
"203","Kit",FALSE
"204","Kotlin",FALSE
"205","KRL",FALSE
"206","LabVIEW",FALSE
"207","Lasso",FALSE
"208","Latte",FALSE
"209","Lean",FALSE
"210","Less",FALSE
"211","Lex",FALSE
"212","LFE",FALSE
"213","LilyPond",FALSE
"214","Limbo",FALSE
"215","Linker Script",FALSE
"216","Linux Kernel Module",FALSE
"217","Liquid",FALSE
"218","Literate Agda",FALSE
"219","Literate CoffeeScript",FALSE
"220","Literate Haskell",FALSE
"221","LiveScript",FALSE
"222","LLVM",FALSE
"223","Logos",FALSE
"224","Logtalk",FALSE
"225","LOLCODE",FALSE
"226","LookML",FALSE
"227","LoomScript",FALSE
"228","LSL",FALSE
"229","M",FALSE
"230","M4",FALSE
"231","M4Sugar",FALSE
"232","Makefile",FALSE
"233","Mako",FALSE
"234","Markdown",FALSE
"235","Mask",FALSE
"236","Mathematica",FALSE
"237","Maven POM",FALSE
"238","Max",FALSE
"239","MAXScript",FALSE
"240","MediaWiki",FALSE
"241","Mercury",FALSE
"242","Metal",FALSE
"243","MiniD",FALSE
"244","Mirah",FALSE
"245","Modelica",FALSE
"246","Modula-2",FALSE
"247","Module Management System",FALSE
"248","Monkey",FALSE
"249","Moocode",FALSE
"250","MoonScript",FALSE
"251","MTML",FALSE
"252","MUF",FALSE
"253","mupad",FALSE
"254","Myghty",FALSE
"255","NCL",FALSE
"256","Nemerle",FALSE
"257","nesC",FALSE
"258","NetLinx",FALSE
"259","NetLinx+ERB",FALSE
"260","NetLogo",FALSE
"261","NewLisp",FALSE
"262","Nginx",FALSE
"263","Nimrod",FALSE
"264","Ninja",FALSE
"265","Nit",FALSE
"266","Nix",FALSE
"267","NL",FALSE
"268","NSIS",FALSE
"269","Nu",FALSE
"270","NumPy",FALSE
"271","ObjDump",FALSE
"272","Objective-C++",FALSE
"273","Objective-J",FALSE
"274","OCaml",FALSE
"275","Omgrofl",FALSE
"276","ooc",FALSE
"277","Opa",FALSE
"278","Opal",FALSE
"279","OpenCL",FALSE
"280","OpenEdge ABL",FALSE
"281","OpenRC runscript",FALSE
"282","OpenSCAD",FALSE
"283","Org",FALSE
"284","Ox",FALSE
"285","Oxygene",FALSE
"286","Oz",FALSE
"287","Pan",FALSE
"288","Papyrus",FALSE
"289","Parrot",FALSE
"290","Parrot Assembly",FALSE
"291","Parrot Internal Representation",FALSE
"292","Pascal",FALSE
"293","PAWN",FALSE
"294","Perl6",FALSE
"295","Pickle",FALSE
"296","PicoLisp",FALSE
"297","PigLatin",FALSE
"298","Pike",FALSE
"299","PLpgSQL",FALSE
"300","PLSQL",FALSE
"301","Pod",FALSE
"302","PogoScript",FALSE
"303","Pony",FALSE
"304","PostScript",FALSE
"305","POV-Ray SDL",FALSE
"306","PowerBuilder",FALSE
"307","PowerShell",FALSE
"308","Processing",FALSE
"309","Prolog",FALSE
"310","Propeller Spin",FALSE
"311","Protocol Buffer",FALSE
"312","Public Key",FALSE
"313","Puppet",FALSE
"314","Pure Data",FALSE
"315","PureBasic",FALSE
"316","PureScript",FALSE
"317","Python traceback",FALSE
"318","QMake",FALSE
"319","QML",FALSE
"320","Racket",FALSE
"321","Ragel in Ruby Host",FALSE
"322","RAML",FALSE
"323","Raw token data",FALSE
"324","RDoc",FALSE
"325","REALbasic",FALSE
"326","Rebol",FALSE
"327","Red",FALSE
"328","Redcode",FALSE
"329","Ren&#39;Py",FALSE
"330","RenderScript",FALSE
"331","reStructuredText",FALSE
"332","REXX",FALSE
"333","RHTML",FALSE
"334","RMarkdown",FALSE
"335","RobotFramework",FALSE
"336","Rouge",FALSE
"337","RUNOFF",FALSE
"338","Rust",FALSE
"339","Sage",FALSE
"340","SaltStack",FALSE
"341","SAS",FALSE
"342","Sass",FALSE
"343","Scaml",FALSE
"344","Scheme",FALSE
"345","Scilab",FALSE
"346","SCSS",FALSE
"347","Self",FALSE
"348","ShellSession",FALSE
"349","Shen",FALSE
"350","Slash",FALSE
"351","Slim",FALSE
"352","Smali",FALSE
"353","Smalltalk",FALSE
"354","Smarty",FALSE
"355","SMT",FALSE
"356","SourcePawn",FALSE
"357","SPARQL",FALSE
"358","SQF",FALSE
"359","SQL",FALSE
"360","SQLPL",FALSE
"361","Squirrel",FALSE
"362","SRecode Template",FALSE
"363","Stan",FALSE
"364","Standard ML",FALSE
"365","Stata",FALSE
"366","STON",FALSE
"367","Stylus",FALSE
"368","SubRip Text",FALSE
"369","SuperCollider",FALSE
"370","SVG",FALSE
"371","SystemVerilog",FALSE
"372","Tcl",FALSE
"373","Tcsh",FALSE
"374","Tea",FALSE
"375","Terra",FALSE
"376","Text",FALSE
"377","Textile",FALSE
"378","Thrift",FALSE
"379","TLA",FALSE
"380","TOML",FALSE
"381","Turing",FALSE
"382","Turtle",FALSE
"383","Twig",FALSE
"384","TXL",FALSE
"385","TypeScript",FALSE
"386","Unified Parallel C",FALSE
"387","Unity3D Asset",FALSE
"388","Uno",FALSE
"389","UnrealScript",FALSE
"390","UrWeb",FALSE
"391","Vala",FALSE
"392","VCL",FALSE
"393","Verilog",FALSE
"394","VHDL",FALSE
"395","Visual Basic",FALSE
"396","Volt",FALSE
"397","Vue",FALSE
"398","Wavefront Material",FALSE
"399","Wavefront Object",FALSE
"400","Web Ontology Language",FALSE
"401","WebIDL",FALSE
"402","wisp",FALSE
"403","World of Warcraft Addon Data",FALSE
"404","X10",FALSE
"405","xBase",FALSE
"406","XC",FALSE
"407","XML",FALSE
"408","Xojo",FALSE
"409","XPages",FALSE
"410","XProc",FALSE
"411","XQuery",FALSE
"412","XS",FALSE
"413","XSLT",FALSE
"414","Xtend",FALSE
"415","Yacc",FALSE
"416","YAML",FALSE
"417","YANG",FALSE
"418","Zephir",FALSE
"419","Zimpl",FALSE
